,file_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,class_names
0,dataset\cars_train\00001.jpg,39,116,569,375,13,Audi TTS Coupe 2012
1,dataset\cars_train\00002.jpg,36,116,868,587,2,Acura TL Sedan 2012
2,dataset\cars_train\00003.jpg,85,109,601,381,90,Dodge Dakota Club Cab 2007
3,dataset\cars_train\00004.jpg,621,393,1484,1096,133,Hyundai Sonata Hybrid Sedan 2012
4,dataset\cars_train\00005.jpg,14,36,133,99,105,Ford F-450 Super Duty Crew Cab 2012
5,dataset\cars_train\00006.jpg,259,289,515,416,122,Geo Metro Convertible 1993
6,dataset\cars_train\00007.jpg,88,80,541,397,88,Dodge Journey SUV 2012
7,dataset\cars_train\00008.jpg,73,79,591,410,95,Dodge Charger Sedan 2012
8,dataset\cars_train\00009.jpg,20,126,1269,771,166,Mitsubishi Lancer Sedan 2012
9,dataset\cars_train\00010.jpg,21,110,623,367,57,Chevrolet Traverse SUV 2012
10,dataset\cars_train\00011.jpg,51,93,601,393,48,Buick Verano Sedan 2012
11,dataset\cars_train\00012.jpg,6,62,499,286,185,Toyota Sequoia SUV 2012
12,dataset\cars_train\00013.jpg,30,36,418,307,134,Hyundai Elantra Sedan 2007
13,dataset\cars_train\00014.jpg,31,246,778,540,84,Dodge Caravan Minivan 1997
14,dataset\cars_train\00015.jpg,32,77,589,379,192,Volvo C30 Hatchback 2012
15,dataset\cars_train\00016.jpg,27,49,611,396,171,Plymouth Neon Coupe 1999
16,dataset\cars_train\00017.jpg,39,52,233,150,13,Audi TTS Coupe 2012
17,dataset\cars_train\00018.jpg,3,8,190,147,72,Chevrolet Malibu Sedan 2007
18,dataset\cars_train\00019.jpg,247,287,1366,761,191,Volkswagen Beetle Hatchback 2012
19,dataset\cars_train\00020.jpg,17,281,961,596,56,Chevrolet Corvette Ron Fellows Edition Z06 2007
20,dataset\cars_train\00021.jpg,17,156,695,375,78,Chrysler 300 SRT-8 2010
21,dataset\cars_train\00022.jpg,212,538,1893,1131,35,BMW M6 Convertible 2010
22,dataset\cars_train\00023.jpg,11,28,476,234,119,GMC Yukon Hybrid SUV 2012
23,dataset\cars_train\00024.jpg,53,126,973,621,169,Nissan Juke Hatchback 2012
24,dataset\cars_train\00025.jpg,34,87,567,343,193,Volvo 240 Sedan 1993
25,dataset\cars_train\00026.jpg,30,174,598,379,133,Hyundai Sonata Hybrid Sedan 2012
26,dataset\cars_train\00027.jpg,80,107,606,336,183,Suzuki SX4 Sedan 2012
27,dataset\cars_train\00028.jpg,45,115,585,382,85,Dodge Ram Pickup 3500 Crew Cab 2010
28,dataset\cars_train\00029.jpg,28,139,1564,1126,179,Spyker C8 Coupe 2009
29,dataset\cars_train\00030.jpg,82,109,874,521,193,Volvo 240 Sedan 1993
30,dataset\cars_train\00031.jpg,55,318,446,564,153,Land Rover Range Rover SUV 2012
31,dataset\cars_train\00032.jpg,12,31,471,350,138,Hyundai Elantra Touring Hatchback 2012
32,dataset\cars_train\00033.jpg,34,197,1011,656,65,Chevrolet Cobalt SS 2010
33,dataset\cars_train\00034.jpg,37,63,614,397,132,Hyundai Veracruz SUV 2012
34,dataset\cars_train\00035.jpg,223,87,1111,670,153,Land Rover Range Rover SUV 2012
35,dataset\cars_train\00036.jpg,138,41,521,223,103,Ferrari 458 Italia Coupe 2012
36,dataset\cars_train\00037.jpg,31,87,616,344,37,BMW Z4 Convertible 2012
37,dataset\cars_train\00038.jpg,16,89,459,326,96,Dodge Charger SRT-8 2009
38,dataset\cars_train\00039.jpg,53,113,614,350,104,Fisker Karma Sedan 2012
39,dataset\cars_train\00040.jpg,214,110,660,403,141,Infiniti QX56 SUV 2011
40,dataset\cars_train\00041.jpg,61,55,566,408,12,Audi A5 Coupe 2012
41,dataset\cars_train\00042.jpg,28,61,622,371,190,Volkswagen Golf Hatchback 1991
42,dataset\cars_train\00043.jpg,22,39,588,362,118,GMC Savana Van 2012
43,dataset\cars_train\00044.jpg,220,193,537,364,37,BMW Z4 Convertible 2012
44,dataset\cars_train\00045.jpg,12,108,489,297,185,Toyota Sequoia SUV 2012
45,dataset\cars_train\00046.jpg,28,80,759,466,24,Audi TT RS Coupe 2012
46,dataset\cars_train\00047.jpg,84,248,1102,899,193,Volvo 240 Sedan 1993
47,dataset\cars_train\00048.jpg,142,69,753,451,176,Rolls-Royce Phantom Sedan 2012
48,dataset\cars_train\00049.jpg,166,543,887,903,172,Porsche Panamera Sedan 2012
49,dataset\cars_train\00050.jpg,20,96,564,341,41,Bentley Continental GT Coupe 2012
50,dataset\cars_train\00051.jpg,41,181,607,465,90,Dodge Dakota Club Cab 2007
51,dataset\cars_train\00052.jpg,39,29,774,395,147,Jeep Grand Cherokee SUV 2012
52,dataset\cars_train\00053.jpg,161,191,425,307,14,Audi R8 Coupe 2012
53,dataset\cars_train\00054.jpg,58,562,1528,1081,96,Dodge Charger SRT-8 2009
54,dataset\cars_train\00055.jpg,80,120,582,391,41,Bentley Continental GT Coupe 2012
55,dataset\cars_train\00056.jpg,32,48,472,267,52,Cadillac Escalade EXT Crew Cab 2007
56,dataset\cars_train\00057.jpg,260,138,972,439,43,Bentley Continental Flying Spur Sedan 2007
57,dataset\cars_train\00058.jpg,11,35,256,173,64,Chevrolet Avalanche Crew Cab 2012
58,dataset\cars_train\00059.jpg,68,91,607,354,89,Dodge Dakota Crew Cab 2010
59,dataset\cars_train\00060.jpg,129,120,345,269,123,HUMMER H3T Crew Cab 2010
60,dataset\cars_train\00061.jpg,11,104,1011,742,113,Ford F-150 Regular Cab 2007
61,dataset\cars_train\00062.jpg,19,21,425,265,189,Volkswagen Golf Hatchback 2012
62,dataset\cars_train\00063.jpg,175,330,928,647,100,Ferrari FF Coupe 2012
63,dataset\cars_train\00064.jpg,97,39,925,700,186,Toyota Camry Sedan 2012
64,dataset\cars_train\00065.jpg,63,175,417,320,7,Aston Martin V8 Vantage Convertible 2012
65,dataset\cars_train\00066.jpg,30,39,221,125,16,Audi 100 Sedan 1994
66,dataset\cars_train\00067.jpg,129,89,594,432,110,Ford Ranger SuperCab 2011
67,dataset\cars_train\00068.jpg,32,43,598,350,121,GMC Canyon Extended Cab 2012
68,dataset\cars_train\00069.jpg,142,124,675,445,4,Acura TSX Sedan 2012
69,dataset\cars_train\00070.jpg,220,313,1054,976,28,BMW 3 Series Sedan 2012
70,dataset\cars_train\00071.jpg,8,12,639,299,125,Honda Odyssey Minivan 2012
71,dataset\cars_train\00072.jpg,92,271,1178,749,93,Dodge Durango SUV 2012
72,dataset\cars_train\00073.jpg,15,12,314,230,105,Ford F-450 Super Duty Crew Cab 2012
73,dataset\cars_train\00074.jpg,14,12,309,223,105,Ford F-450 Super Duty Crew Cab 2012
74,dataset\cars_train\00075.jpg,45,74,522,253,187,Toyota Corolla Sedan 2012
75,dataset\cars_train\00076.jpg,12,27,284,166,58,Chevrolet Camaro Convertible 2012
76,dataset\cars_train\00077.jpg,25,25,3502,2017,109,Ford Edge SUV 2012
77,dataset\cars_train\00078.jpg,36,88,611,417,42,Bentley Continental GT Coupe 2007
78,dataset\cars_train\00079.jpg,165,126,749,425,132,Hyundai Veracruz SUV 2012
79,dataset\cars_train\00080.jpg,20,21,292,217,110,Ford Ranger SuperCab 2011
80,dataset\cars_train\00081.jpg,10,55,540,271,7,Aston Martin V8 Vantage Convertible 2012
81,dataset\cars_train\00082.jpg,63,113,597,413,191,Volkswagen Beetle Hatchback 2012
82,dataset\cars_train\00083.jpg,55,48,294,205,17,Audi 100 Wagon 1994
83,dataset\cars_train\00084.jpg,27,67,620,474,115,Ford E-Series Wagon Van 2012
84,dataset\cars_train\00085.jpg,15,80,629,402,48,Buick Verano Sedan 2012
85,dataset\cars_train\00086.jpg,119,300,1416,871,144,Jeep Patriot SUV 2012
86,dataset\cars_train\00087.jpg,17,36,455,215,48,Buick Verano Sedan 2012
87,dataset\cars_train\00088.jpg,171,176,2373,1751,169,Nissan Juke Hatchback 2012
88,dataset\cars_train\00089.jpg,49,195,1003,617,19,Audi S6 Sedan 2011
89,dataset\cars_train\00090.jpg,5,43,296,211,113,Ford F-150 Regular Cab 2007
90,dataset\cars_train\00091.jpg,49,57,494,419,164,Mercedes-Benz S-Class Sedan 2012
91,dataset\cars_train\00092.jpg,101,84,492,272,137,Hyundai Sonata Sedan 2012
92,dataset\cars_train\00093.jpg,23,53,258,144,174,Rolls-Royce Phantom Drophead Coupe Convertible 2012
93,dataset\cars_train\00094.jpg,19,60,783,440,111,Ford GT Coupe 2006
94,dataset\cars_train\00095.jpg,110,171,1213,648,121,GMC Canyon Extended Cab 2012
95,dataset\cars_train\00096.jpg,39,67,346,206,103,Ferrari 458 Italia Coupe 2012
96,dataset\cars_train\00097.jpg,3,7,76,50,56,Chevrolet Corvette Ron Fellows Edition Z06 2007
97,dataset\cars_train\00098.jpg,65,37,578,360,50,Cadillac CTS-V Sedan 2012
98,dataset\cars_train\00099.jpg,27,60,486,364,36,BMW X3 SUV 2012
99,dataset\cars_train\00100.jpg,22,180,454,355,70,Chevrolet Express Van 2007
100,dataset\cars_train\00101.jpg,70,39,940,742,192,Volvo C30 Hatchback 2012
101,dataset\cars_train\00102.jpg,99,130,396,222,104,Fisker Karma Sedan 2012
102,dataset\cars_train\00103.jpg,85,107,609,381,60,Chevrolet Impala Sedan 2007
103,dataset\cars_train\00104.jpg,1,76,480,315,73,Chevrolet Silverado 1500 Extended Cab 2012
104,dataset\cars_train\00105.jpg,57,266,967,623,132,Hyundai Veracruz SUV 2012
105,dataset\cars_train\00106.jpg,69,75,236,161,161,Mercedes-Benz C-Class Sedan 2012
106,dataset\cars_train\00107.jpg,24,17,249,163,130,Hyundai Santa Fe SUV 2012
107,dataset\cars_train\00108.jpg,7,27,212,147,87,Dodge Sprinter Cargo Van 2009
108,dataset\cars_train\00109.jpg,18,14,248,168,120,GMC Acadia SUV 2012
109,dataset\cars_train\00110.jpg,19,2,591,387,179,Spyker C8 Coupe 2009
110,dataset\cars_train\00111.jpg,52,6,759,513,179,Spyker C8 Coupe 2009
111,dataset\cars_train\00112.jpg,231,103,430,226,136,Hyundai Genesis Sedan 2012
112,dataset\cars_train\00113.jpg,91,148,700,582,132,Hyundai Veracruz SUV 2012
113,dataset\cars_train\00114.jpg,19,72,624,397,70,Chevrolet Express Van 2007
114,dataset\cars_train\00115.jpg,26,90,376,243,82,Dodge Caliber Wagon 2012
115,dataset\cars_train\00116.jpg,132,120,667,401,109,Ford Edge SUV 2012
116,dataset\cars_train\00117.jpg,84,44,663,342,41,Bentley Continental GT Coupe 2012
117,dataset\cars_train\00118.jpg,87,235,591,412,176,Rolls-Royce Phantom Sedan 2012
118,dataset\cars_train\00119.jpg,173,370,1207,960,146,Jeep Liberty SUV 2012
119,dataset\cars_train\00120.jpg,3,19,195,114,160,Mercedes-Benz 300-Class Convertible 1993
120,dataset\cars_train\00121.jpg,49,143,487,455,108,Ford Expedition EL SUV 2009
121,dataset\cars_train\00122.jpg,72,67,233,176,27,BMW 1 Series Coupe 2012
122,dataset\cars_train\00123.jpg,151,568,1954,1271,143,Jaguar XK XKR 2012
123,dataset\cars_train\00124.jpg,14,88,271,178,52,Cadillac Escalade EXT Crew Cab 2007
